     DATE        TIME   ,  Infosys,Wipro,TATA MOTORS,BAJAJ FINANCE,BANK OF INDIA,BIRLA,BOSCH,HDFC
2021-01-27 12:39:15.716702,1316.79,450.15,270.12,4863.75,50.07,719.35,385.67,15778.33,1450.32
2021-01-27 12:39:27.035496,1316.79,450.15,270.12,4863.75,50.07,719.35,385.67,15778.33,1450.25
2021-01-27 12:39:38.498392,1316.8,450.15,270.12,4863.75,50.07,719.34,385.67,15778.33,1450.21
2021-01-27 12:39:49.689495,1316.8,450.15,270.12,4863.75,50.07,719.34,385.72,15778.73,1450.21
2021-01-27 12:40:00.948945,1316.8,450.15,270.12,4863.75,50.07,719.34,385.72,15778.73,1450.21
2021-01-27 12:40:12.117753,1316.8,450.15,270.12,4863.75,50.07,719.34,385.72,15778.73,1450.21
2021-01-27 12:40:23.224962,1316.75,450.15,270.12,4863.75,50.07,719.34,385.72,15778.73,1450.25
2021-01-27 12:40:34.465503,1316.75,450.15,270.12,4863.75,50.07,719.34,385.72,15778.73,1450.25
2021-01-27 12:40:45.530473,1316.74,450.15,270.12,4863.72,50.07,719.34,385.72,15778.73,1450.21
2021-01-27 12:40:56.756802,1316.76,450.15,270.12,4863.72,50.07,719.34,385.72,15778.73,1450.21
2021-01-27 12:41:07.947238,1316.76,450.15,270.12,4863.72,50.07,719.34,385.72,15778.73,1450.25
2021-01-27 12:41:19.079956,1316.76,450.15,270.12,4863.72,50.07,719.34,385.72,15778.73,1450.13
2021-01-27 12:41:30.163140,1316.76,450.15,270.12,4863.72,50.07,719.34,385.72,15779.02,1450.13
2021-01-27 12:41:41.239936,1316.75,450.15,270.12,4863.72,50.07,719.34,385.75,15779.02,1450.11
2021-01-27 12:41:52.350884,1316.75,450.15,270.12,4863.72,50.07,719.34,385.75,15779.02,1450.11
2021-01-27 12:42:03.475097,1316.76,450.15,270.12,4863.72,50.07,719.34,385.75,15779.02,1450.13
